ciudad,calle,fecha,hora,ruta_imagen,num_vehiculos,nivel_trafico,temperatura,lluvia,litros_m2,laborable,franja_horaria
Madrid,Princesa - Serrano Jover,2025-10-25,1900-01-01 21:57:00,D:\UE\2025-2026\Primer Cuatri\Proyecto Comp I\imagenesTrafico\Princesa_-_Serrano_Jover_2025-10-25_21-57-33.jpg,4,Bajo,17.0,No,0.0,No laborable,Noche
Madrid,Alonso Martínez,2025-10-25,1900-01-01 21:57:00,D:\UE\2025-2026\Primer Cuatri\Proyecto Comp I\imagenesTrafico\Alonso_Mart_nez_2025-10-25_21-57-34.jpg,11,Medio,17.0,No,0.0,No laborable,Noche
Madrid,Cibeles 1,2025-10-25,1900-01-01 21:57:00,D:\UE\2025-2026\Primer Cuatri\Proyecto Comp I\imagenesTrafico\Cibeles_1_2025-10-25_21-57-34.jpg,10,Medio,17.0,No,0.0,No laborable,Noche
Madrid,Alcalá - Velázquez,2025-10-25,1900-01-01 21:57:00,D:\UE\2025-2026\Primer Cuatri\Proyecto Comp I\imagenesTrafico\Alcal__-_Vel_zquez_2025-10-25_21-57-35.jpg,10,Medio,17.0,No,0.0,No laborable,Noche
Madrid,Pº Castellana - S. Delgado,2025-10-25,1900-01-01 21:57:00,D:\UE\2025-2026\Primer Cuatri\Proyecto Comp I\imagenesTrafico\P__Castellana_-_S._Delgado_2025-10-25_21-57-35.jpg,3,Bajo,17.0,No,0.0,No laborable,Noche
Madrid,Av. de América - F. Silvela,2025-10-25,1900-01-01 21:57:00,D:\UE\2025-2026\Primer Cuatri\Proyecto Comp I\imagenesTrafico\Av._de_Am_rica_-_F._Silvela_2025-10-25_21-57-35.jpg,9,Medio,17.0,No,0.0,No laborable,Noche
Madrid,Callao / Gran Vía,2025-10-25,1900-01-01 21:57:00,D:\UE\2025-2026\Primer Cuatri\Proyecto Comp I\imagenesTrafico\Callao___Gran_V_a_2025-10-25_21-57-36.jpg,5,Bajo,17.0,No,0.0,No laborable,Noche
Madrid,Cuatro Caminos,2025-10-25,1900-01-01 21:57:00,D:\UE\2025-2026\Primer Cuatri\Proyecto Comp I\imagenesTrafico\Cuatro_Caminos_2025-10-25_21-57-36.jpg,15,Medio,17.0,No,0.0,No laborable,Noche
Madrid,Pº del Prado - Huertas,2025-10-25,1900-01-01 21:57:00,D:\UE\2025-2026\Primer Cuatri\Proyecto Comp I\imagenesTrafico\P__del_Prado_-_Huertas_2025-10-25_21-57-37.jpg,1,Bajo,17.0,No,0.0,No laborable,Noche
Madrid,Plaza de Castilla (Norte),2025-10-25,1900-01-01 21:57:00,D:\UE\2025-2026\Primer Cuatri\Proyecto Comp I\imagenesTrafico\Plaza_de_Castilla_(Norte)_2025-10-25_21-57-37.jpg,0,Bajo,17.0,No,0.0,No laborable,Noche
